"","구","방향","total"
"1","강남구","유입",164634707
"2","강동구","유입",49936872
"3","강서구","유입",36895972
"4","관악구","유입",16043785
"5","광진구","유입",27095066
"6","구로구","유입",35088544
"7","금천구","유입",56337224
"8","노원구","유입",53678782
"9","도봉구","유입",18194048
"10","동대문구","유입",23253873
"11","동작구","유입",60293839
"12","마포구","유입",110688043
"13","서대문구","유입",46669209
"14","서초구","유입",167944042
"15","성동구","유입",69841974
"16","성북구","유입",72199043
"17","송파구","유입",87431287
"18","양천구","유입",58074862
"19","영등포구","유입",123653563
"20","용산구","유입",103556618
"21","은평구","유입",25852626
"22","종로구","유입",74991072
"23","중구","유입",81367878
"24","중랑구","유입",30364813
"25","강남구","유출",159410492
"26","강동구","유출",41439778
"27","강서구","유출",31378712
"28","관악구","유출",19963877
"29","광진구","유출",25629685
"30","구로구","유출",35880818
"31","금천구","유출",58033126
"32","노원구","유출",51587379
"33","도봉구","유출",17130948
"34","동대문구","유출",28384756
"35","동작구","유출",54180460
"36","마포구","유출",112617286
"37","서대문구","유출",43764903
"38","서초구","유출",173481425
"39","성동구","유출",65458213
"40","성북구","유출",69706710
"41","송파구","유출",96717258
"42","양천구","유출",63770287
"43","영등포구","유출",135008969
"44","용산구","유출",109186211
"45","은평구","유출",23859884
"46","종로구","유출",83213968
"47","중구","유출",83157252
"48","중랑구","유출",26916687
