"gu","gas_station","car","station_per_car","inflow","outflow","land_value","university","enterprise","distributor","parking_area","school","road_area","population","day_pop","night_pop","car_per_station"
"강남구",125,235376,0.000531065,164634707,159410492,118.801,3,71373,255893,390191,120,6700039,852709.441,1004121.237,744326.9731,1883.008
"강동구",43,143137,0.000300411,49936872,41439778,116.66,1,29772,114448,167853,93,3729538.4,496113.5191,467542.1035,516379.6965,3328.76744186047
"강북구",28,76265,0.000367141,39214633.6592458,39113800.0798725,114.084,2,18918,83831,89173,59,2000479.6,309347.8974,284766.438,326815.1754,2723.75
"강서구",73,204000,0.000357843,36895972,31378712,117.699,4,38524,170268,260730,138,3994519.8,561760.6046,537358.0653,579028.1827,2794.52054794521
"관악구",32,119646,0.000267456,16043785,19963877,114.353,3,26105,72107,151070,91,2607929.2,519173.8651,471659.7963,552958.8912,3738.9375
"광진구",35,99089,0.000353218,27095066,25629685,116.399,4,24535,99408,129859,78,2495694.1,408327.7434,392245.0454,419694.1449,2831.11428571429
"구로구",50,143939,0.000347369,35088544,35880818,114.385,3,38553,318487,178806,90,2858066.6,429308.281,423531.2454,433310.5451,2878.78
"금천구",26,87494,0.000297163,56337224,58033126,114.529,1,32472,328702,119994,54,2022988,241879.9629,257807.3995,230435.7429,3365.15384615385
"노원구",42,152172,0.000276003,53678782,51587379,114.23,6,26616,164758,175831,163,2823777.1,531820.3254,500801.8881,553823.1649,3623.14285714286
"도봉구",39,95969,0.000406381,18194048,17130948,112.355,1,18894,53923,112583,73,2083239.8,291234.6348,270708.9414,305809.466,2460.74358974359
"동대문구",46,97712,0.000470771,23253873,28384756,116.614,6,31878,160875,135626,78,2637075.5,395997.635,394574.3974,396898.9999,2124.17391304348
"동작구",22,105066,0.000209392,60293839,54180460,119.543,5,19916,23288,128893,80,2351050.7,425394.3795,400448.5209,443089.0033,4775.72727272727
"마포구",36,118132,0.000304744,110688043,112617286,120.406,2,37232,77831,179349,71,3473093.3,509342.866,530320.5793,494208.4845,3281.44444444444
"서대문구",32,87740,0.000364714,46669209,43764903,114.297,8,19796,80282,115993,66,2157129.3,411040.6684,419497.7114,404882.8443,2741.875
"서초구",88,181131,0.000485836,167944042,173481425,117.693,7,46540,310321,277211,80,6263941.8,617727.2414,703220.6068,556486.6961,2058.30681818182
"성동구",33,105754,0.000312045,69841974,65458213,119.92,3,27868,91378,121228,71,2256408.1,365824.1514,373757.1711,360053.188,3204.66666666667
"성북구",56,119102,0.000470185,72199043,69706710,114.619,8,23287,87861,155244,110,2724129.9,452381.192,429635.034,468497.6855,2126.82142857143
"송파구",73,240671,0.000303319,87431287,96717258,117.008,1,47772,349032,305199,140,5964445.4,780160.8694,783557.1271,777512.2702,3296.86301369863
"양천구",58,149474,0.000388027,58074862,63770287,114.784,0,26126,149357,162040,107,3108671.2,404251.8672,379979.7652,421473.0875,2577.13793103448
"영등포구",70,142432,0.000491463,123653563,135008969,117.012,3,42589,342134,170574,83,4272735.5,519062.7187,569774.5302,482691.9926,2034.74285714286
"용산구",28,76427,0.000366363,103556618,109186211,121.278,3,20813,281000,113341,47,2481085.2,325387.1488,351000.5706,306997.6878,2729.53571428571
"은평구",37,129452,0.00028582,25852626,23859884,114.075,1,24873,142095,159015,113,2908089.5,451976.1968,410861.2858,481212.167,3498.7027027027
"종로구",21,50094,0.000419212,74991072,83213968,114.339,8,39952,133876,94485,60,2369772.2,339134.1045,424302.3354,278200.1531,2385.42857142857
"중구",24,51277,0.000468046,81367878,83157252,114.137,3,60957,824458,108240,48,2148274.5,358072.912,463649.3364,282561.6914,2136.54166666667
"중랑구",34,112433,0.000302402,30364813,26916687,113.229,2,28024,98711,127195,78,2845217.9,366944.2037,337197.1972,388084.8275,3306.85294117647
