"구","주유소수","등록차량수","등록차량수_대비_주유소수","유입교통량","유출교통량","공시지가","대학수","사업체수","유통업체수","주차장면적","학교수","도로면적","총생활인구수","주간인구수","야간인구수"
"강남구",125,235376,0.000531065189314119,164634707,159410492,118.801,3,71373,255893,390191,120,"6,700,039.0",852709.440997581,1004121.23717863,744326.973064113
"강동구",43,143137,0.000300411493883482,49936872,41439778,116.66,1,29772,114448,167853,93,"3,729,538.4",496113.519094489,467542.103522984,516379.696517608
"강북구",28,76265,0.000367140890316659,NA,NA,114.084,2,18918,83831,89173,59,"2,000,479.6",309347.897379167,284766.438047581,326815.175399866
"강서구",73,204000,0.000357843137254902,36895972,31378712,117.699,4,38524,170268,260730,138,"3,994,519.8",561760.604576344,537358.065337366,579028.182745564
"관악구",32,119646,0.000267455660866222,16043785,19963877,114.353,3,26105,72107,151070,91,"2,607,929.2",519173.865135753,471659.796253763,552958.8911875
"광진구",35,99089,0.000353217814288165,27095066,25629685,116.399,4,24535,99408,129859,78,"2,495,694.1",408327.743368952,392245.045417608,419694.144873925
"구로구",50,143939,0.000347369371747754,35088544,35880818,114.385,3,38553,318487,178806,90,"2,858,066.6",429308.281041667,423531.245408333,433310.545107258
"금천구",26,87494,0.000297163234050335,56337224,58033126,114.529,1,32472,328702,119994,54,"2,022,988.0",241879.962898656,257807.399510081,230435.742890995
"노원구",42,152172,0.000276003469757906,53678782,51587379,114.23,6,26616,164758,175831,163,"2,823,777.1",531820.32541129,500801.888109409,553823.164885618
"도봉구",39,95969,0.000406381227271306,18194048,17130948,112.355,1,18894,53923,112583,73,"2,083,239.8",291234.634822984,270708.941360349,305809.465986828
"동대문구",46,97712,0.00047077124611102,23253873,28384756,116.614,6,31878,160875,135626,78,"2,637,075.5",395997.63504543,394574.397408065,396898.999939919
"동작구",22,105066,0.00020939219157482,60293839,54180460,119.543,5,19916,23288,128893,80,"2,351,050.7",425394.379545565,400448.520904301,443089.003279301
"마포구",36,118132,0.000304743845867335,110688043,112617286,120.406,2,37232,77831,179349,71,"3,473,093.3",509342.865995564,530320.579340054,494208.484524462
"서대문구",32,87740,0.000364713927513107,46669209,43764903,114.297,8,19796,80282,115993,66,"2,157,129.3",411040.668361828,419497.711361559,404882.844284274
"서초구",88,181131,0.000485836217985878,167944042,173481425,117.693,7,46540,310321,277211,80,"6,263,941.8",617727.241394355,703220.606764247,556486.696117473
"성동구",33,105754,0.000312044934470564,69841974,65458213,119.92,3,27868,91378,121228,71,"2,256,408.1",365824.151441263,373757.171052151,360053.18798078
"성북구",56,119102,0.000470185219391782,72199043,69706710,114.619,8,23287,87861,155244,110,"2,724,129.9",452381.19203414,429635.033952285,468497.685539651
"송파구",73,240671,0.000303318638307067,87431287,96717258,117.008,1,47772,349032,305199,140,"5,964,445.4",780160.869380914,783557.127113038,777512.270222849
"양천구",58,149474,0.000388027349237995,58074862,63770287,114.784,0,26126,149357,162040,107,"3,108,671.2",404251.867222446,379979.765205108,421473.087456317
"영등포구",70,142432,0.000491462592675803,123653563,135008969,117.012,3,42589,342134,170574,83,"4,272,735.5",519062.718742473,569774.530211022,482691.992584005
"용산구",28,76427,0.000366362672877386,103556618,109186211,121.278,3,20813,281000,113341,47,"2,481,085.2",325387.148781452,351000.57063414,306997.687763978
"은평구",37,129452,0.000285820226802212,25852626,23859884,114.075,1,24873,142095,159015,113,"2,908,089.5",451976.196829435,410861.285759812,481212.167028763
"종로구",21,50094,0.000419211881662475,74991072,83213968,114.339,8,39952,133876,94485,60,"2,369,772.2",339134.104539785,424302.335368952,278200.153106855
"중구",24,51277,0.0004680461025411,81367878,83157252,114.137,3,60957,824458,108240,48,"2,148,274.5",358072.911990457,463649.336354032,282561.691430376
"중랑구",34,112433,0.000302402319603675,30364813,26916687,113.229,2,28024,98711,127195,78,"2,845,217.9",366944.203666667,337197.197165188,388084.827461694
