"구","SIG_CD","주유소수","등록차량수","유입교통량","유출교통량","공시지가","대학수","사업체수","유통업체수","주차장면적","학교수","도로면적","생활인구수","주간인구수","야간인구수"
"종로구",11110,21,50094,74991072,83213968,114,8,39952,133876,94485,60,2369772,339134,424302,278200
"중구",11140,24,51277,81367878,83157252,114,3,60957,824458,108240,48,2148274,358073,463649,282562
"용산구",11170,28,76427,103556618,109186211,121,3,20813,281000,113341,47,2481085,325387,351001,306998
"성동구",11200,33,105754,69841974,65458213,120,3,27868,91378,121228,71,2256408,365824,373757,360053
"광진구",11215,35,99089,27095066,25629685,116,4,24535,99408,129859,78,2495694,408328,392245,419694
"동대문구",11230,46,97712,23253873,28384756,117,6,31878,160875,135626,78,2637076,395998,394574,396899
"중랑구",11260,34,112433,30364813,26916687,113,2,28024,98711,127195,78,2845218,366944,337197,388085
"성북구",11290,56,119102,72199043,69706710,115,8,23287,87861,155244,110,2724130,452381,429635,468498
"강북구",11305,28,76265,39214634,39113800,114,2,18918,83831,89173,59,2000480,309348,284766,326815
"도봉구",11320,39,95969,18194048,17130948,112,1,18894,53923,112583,73,2083240,291235,270709,305809
"노원구",11350,42,152172,53678782,51587379,114,6,26616,164758,175831,163,2823777,531820,500802,553823
"은평구",11380,37,129452,25852626,23859884,114,1,24873,142095,159015,113,2908090,451976,410861,481212
"서대문구",11410,32,87740,46669209,43764903,114,8,19796,80282,115993,66,2157129,411041,419498,404883
"마포구",11440,36,118132,110688043,112617286,120,2,37232,77831,179349,71,3473093,509343,530321,494208
"양천구",11470,58,149474,58074862,63770287,115,0,26126,149357,162040,107,3108671,404252,379980,421473
"강서구",11500,73,204000,36895972,31378712,118,4,38524,170268,260730,138,3994520,561761,537358,579028
"구로구",11530,50,143939,35088544,35880818,114,3,38553,318487,178806,90,2858067,429308,423531,433311
"금천구",11545,26,87494,56337224,58033126,115,1,32472,328702,119994,54,2022988,241880,257807,230436
"영등포구",11560,70,142432,123653563,135008969,117,3,42589,342134,170574,83,4272736,519063,569775,482692
"동작구",11590,22,105066,60293839,54180460,120,5,19916,23288,128893,80,2351051,425394,400449,443089
"관악구",11620,32,119646,16043785,19963877,114,3,26105,72107,151070,91,2607929,519174,471660,552959
"서초구",11650,88,181131,167944042,173481425,118,7,46540,310321,277211,80,6263942,617727,703221,556487
"강남구",11680,125,235376,164634707,159410492,119,3,71373,255893,390191,120,6700039,852709,1004121,744327
"송파구",11710,73,240671,87431287,96717258,117,1,47772,349032,305199,140,5964445,780161,783557,777512
"강동구",11740,43,143137,49936872,41439778,117,1,29772,114448,167853,93,3729538,496114,467542,516380
